国内/海外,站点名称,聚合参数,,区域名称,全量库,区域source,主帖/回帖,,,输入,,输出,爬虫入参,item_id开发优先级,主贴爬虫姿势,爬虫种子,,,,,,
,,,,,,,,,,,input,,,,,,,,,,,
,,app_id,scope_id,,,,site_id,site_name,cat_id,,,,,,,主回帖,主贴,互动量,评论,用户信息,商品信息,店铺信息
国内,微博,6,4,-,,,101993,微博,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论,采集转发,采集点赞列表",mid,,"{""mids"":""%s"",""crawler"":2990,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,item_id,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,人群特征,,主帖,,,,,,,,,,
国内,,,,,,,,,,内容标签,,"主帖,评论,互动量",,,,,,,,,,
国内,微信公众号,7,10,-,,微信,102027,微信,,关键词,,"主帖,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,互动量","biz,full_url",,"{""full_url"":""%s"",""biz"":""%s"",""crawler"":70,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,互动量",,,,,,,,,,
国内,抖音,8,7,短视频,,短视频,1003583,抖音app,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",videoId,,"{""video_ids"":""%s"",""crawler"":24550,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,item_id,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,话题url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":24542,""sort_type"":""2"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,人群特征,,主帖,,,,,,,,,,
国内,,,,,,,,,,内容标签,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,豆瓣,9,1,小组,,新闻论坛,101945,豆瓣,,小组名称,,"主帖,评论,仅评论",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,仅评论",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论",full_url,,"{""full_url"":""%s"",""crawler"":20089}",,,,,,,
国内,,,2,电影,,,,,,电影URL,,"主帖,评论",item_id,,"{""item_id"":""%s"",""crawler"":23695,""sort"":""time""}，{""item_id"":""%s"",""crawler"":23687,""sort"":""time""}",,,,,,,
国内,,,3,电视剧,,,,,,电视剧URL,,"主帖,评论",item_id,,"{""item_id"":""%s"",""crawler"":23695,""sort"":""time""}，{""item_id"":""%s"",""crawler"":23687,""sort"":""time""}",,,,,,,
国内,知乎,10,8,-,,新闻论坛,101944,知乎,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",full_url,,"{""full_url"":""%s"",""crawler"":157,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}，{""full_url"":""%s"",""crawler"":111668,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}，{""full_url"":""%s"",""crawler"":25581,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,话题（名称）,,"主帖,评论,互动量",,,,,,,,,,
国内,今日头条,11,5,-,,新闻论坛,1001569,今日头条APP,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":20166,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,快手,12,6,-,,短视频,1334510,"
快手app",,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",videoId,,"{""video_id"":""%s"",""crawler"":24559,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,内容标签,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,话题关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,小红书,13,11,-,,小红书,146510,小红书,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,仅评论",item_id,,"{""item_id"":""%s"",""crawler"":23619,""runType"":0,""DEDUP_ON"":""false"",""GLOBAL_UNIQUE_ON"":""false"",""hermesAppId"":""20725""}",,,,,,,
国内,,,,,,,,,,item_id,,"主帖,评论,互动量,仅评论",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,,,,,,,,,,内容标签,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,用户url,,"主帖,评论,互动量,账号信息",,,,,,,,,,
国内,B站,14,9,视频,,,44,"
哔哩哔哩",,关键词,,"主帖,评论,互动量,采集主帖弹幕",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量,采集主帖弹幕,仅评论",videoId,,"{""video_id"":""%s"",""crawler"":166,""runType"":0,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量,账号信息,采集主帖弹幕",,,,,,,,,,
国内,,,,,,,,,,人群特征,,主帖,,,,,,,,,,
国内,,,,,,,,,,指定标签,,"主帖,评论,互动量,采集主帖弹幕",,,,,,,,,,
国内,,,,,,,,,,内容标签,,"主帖,评论,互动量,采集主帖弹幕",,,,,,,,,,
